text_id,sample_date,sample_id,result_value,percentage,median,anomaly_score,is_anomaly
AD23-00394.026,2023-10-22,AD23-00394.026,76468,1.793,218747.0,-1,True
AD23-00399.030,2023-10-25,AD23-00399.030,1727160,18.792,884428.5,-1,True
AD23-00394.003,2023-10-22,AD23-00394.003,2106095,42.302,884428.5,-1,True
AD22-00001.006,2022-08-03,AD22-00001.006,931199,1.027359,3234.0,-1,True
AD23-00399.008,2023-10-25,AD23-00399.008,218426,3.074,35123.0,-1,True
AD22-00014.007,2022-12-08,AD22-00014.007,227556,3.289476,91185.0,-1,True
AD22-00013.005,2022-12-07,AD22-00013.005,148548,2.067169,91252.0,-1,True
AD22-00001.010,2022-08-03,AD22-00001.010,402086,0.435924,141318.0,-1,True
AD24-00116.026,2024-03-18,AD24-00116.026,3728230,35.501,884428.5,-1,True
AD23-00399.038,2023-10-25,AD23-00399.038,432173,4.924,22681.0,-1,True
AD23-00399.006,2023-10-25,AD23-00399.006,128027,2.165,143990.0,-1,True
AD24-00051.015,2024-02-04,AD24-00051.015,11264,1.18,218747.0,-1,True
AD23-00432.010,2023-11-16,AD23-00432.010,253552,1.561,319982.0,-1,True
AD23-00011.009,2023-01-09,AD23-00011.009,83872,1.1,225253.0,-1,True
AD23-00432.009,2023-11-16,AD23-00432.009,190021,3.55,80864.0,-1,True
AD22-00014.001,2022-12-08,AD22-00014.001,236769,5.795959,319982.0,-1,True
AD22-00012.002,2022-12-07,AD22-00012.002,146804,3.509277,319781.0,-1,True
AD22-00017.008,2022-12-12,AD22-00017.008,745901,8.687,319982.0,-1,True
AD23-00002.001,2023-01-02,AD23-00002.001,328513,2.854,319982.0,-1,True
AD23-00394.001,2023-10-22,AD23-00394.001,82613,1.245,143990.0,-1,True
AD23-00429.002,2023-11-15,AD23-00429.002,362646,3.188,143990.0,-1,True
AD23-00011.010,2023-01-09,AD23-00011.010,161322,2.235,225253.0,-1,True
AD23-00434.013,2023-11-19,AD23-00434.013,2157075,24.815,884428.5,-1,True
AD23-00429.016,2023-11-15,AD23-00429.016,195190,5.114,671922.0,-1,True
AD22-00015.012,2022-12-08,AD22-00015.012,252210,3.60648,68217.0,-1,True
AD22-00015.012,2022-12-08,AD22-00015.012,131762,1.884132,88015.0,-1,True
AD23-00434.014,2023-11-19,AD23-00434.014,988399,21.557,884428.5,-1,True
AD23-00429.041,2023-11-15,AD23-00429.041,2034217,22.118,884428.5,-1,True
AD23-00429.049,2023-11-15,AD23-00429.049,1018823,12.456,884428.5,-1,True
AD24-00116.027,2024-03-18,AD24-00116.027,3836270,36.469,884428.5,-1,True
AD23-00429.033,2023-11-15,AD23-00429.033,1608275,14.725,319781.0,-1,True
AD22-00015.001,2022-12-08,AD22-00015.001,48956,2.033364,225253.0,-1,True
AD23-00434.013,2023-11-19,AD23-00434.013,172363,1.983,80864.0,-1,True
AD23-00399.008,2023-10-25,AD23-00399.008,405468,5.706,53001.0,-1,True
AD22-00015.001,2022-12-08,AD22-00015.001,61503,2.554497,91185.0,-1,True
AD23-00429.038,2023-11-15,AD23-00429.038,87623,1.282,319781.0,-1,True
AD24-00116.017,2024-03-18,AD24-00116.017,459918,6.852,225253.0,-1,True
AD23-00432.008,2023-11-16,AD23-00432.008,429008,6.094,143990.0,-1,True
AD23-00432.012,2023-11-16,AD23-00432.012,3283378,33.545,225253.0,-1,True
AD22-00015.002,2022-12-08,AD22-00015.002,3215928,38.01462,225253.0,-1,True
AD22-00017.001,2022-12-12,AD22-00017.001,276603,4.506,225253.0,-1,True
AD23-00002.008,2023-01-02,AD23-00002.008,155891,2.385,143990.0,-1,True
AD22-00036.011,2022-12-26,AD22-00036.011,147392,2.504,91185.0,-1,True
AD22-00017.005,2022-12-12,AD22-00017.005,1407105,12.395,319982.0,-1,True
AD23-00429.017,2023-11-15,AD23-00429.017,90226,2.298,80864.0,-1,True
AD23-00394.012,2023-10-22,AD23-00394.012,323307,3.982,143990.0,-1,True
AD23-00011.003,2023-01-09,AD23-00011.003,303458,3.825,48755.0,-1,True
AD24-00051.013,2024-02-04,AD24-00051.013,670876,35.248,25183.0,-1,True
AD23-00432.003,2023-11-16,AD23-00432.003,392392,5.139,225253.0,-1,True
AD22-00015.001,2022-12-08,AD22-00015.001,533870,22.174032,671922.0,-1,True
AD22-00017.002,2022-12-12,AD22-00017.002,232890,2.136,218747.0,-1,True
AD23-00399.019,2023-10-25,AD23-00399.019,150054,4.98,53001.0,-1,True
AD23-00432.010,2023-11-16,AD23-00432.010,434204,2.674,80864.0,-1,True
AD23-00429.051,2023-11-15,AD23-00429.051,450040,5.587,225253.0,-1,True
AD24-00071.003,2024-02-15,AD24-00071.003,176144,5.026,25183.0,-1,True
AD22-00007.007,2022-08-29,AD22-00007.007,412527,0.457951,91185.0,-1,True
AD22-00017.001,2022-12-12,AD22-00017.001,317738,5.176,25183.0,-1,True
AD23-00399.003,2023-10-25,AD23-00399.003,215399,4.075,143990.0,-1,True
AD23-00429.042,2023-11-15,AD23-00429.042,316981,5.886,225253.0,-1,True
AD23-00011.006,2023-01-09,AD23-00011.006,123601,3.256,91252.0,-1,True
AD23-00429.012,2023-11-15,AD23-00429.012,66243,1.864,319982.0,-1,True
AD22-00036.015,2022-12-26,AD22-00036.015,366630,3.065,143990.0,-1,True
AD22-00014.003,2022-12-08,AD22-00014.003,913538,10.362707,218747.0,-1,True
AD23-00430.004,2023-11-15,AD23-00430.004,458656,5.412,143990.0,-1,True
AD22-00036.011,2022-12-26,AD22-00036.011,946127,16.074,61811.0,-1,True
AD23-00434.011,2023-11-19,AD23-00434.011,244125,3.757,63368.0,-1,True
AD23-00429.012,2023-11-15,AD23-00429.012,437157,12.302,884428.5,-1,True
AD23-00430.001,2023-11-15,AD23-00430.001,158109,2.182,88015.0,-1,True
AD23-00429.049,2023-11-15,AD23-00429.049,239103,2.923,88015.0,-1,True
AD23-00429.039,2023-11-15,AD23-00429.039,499392,4.984,884428.5,-1,True
AD23-00429.014,2023-11-15,AD23-00429.014,674762,9.752,884428.5,-1,True
AD24-00051.020,2024-02-04,AD24-00051.020,7241,0.593,225253.0,-1,True
AD23-00432.008,2023-11-16,AD23-00432.008,1575619,22.383,671922.0,-1,True
AD23-00394.011,2023-10-22,AD23-00394.011,169822,6.286,68217.0,-1,True
AD23-00429.017,2023-11-15,AD23-00429.017,124463,3.17,71625.0,-1,True
AD22-00017.011,2022-12-12,AD22-00017.011,752662,9.124,319982.0,-1,True
AD23-00394.001,2023-10-22,AD23-00394.001,899167,13.547,25183.0,-1,True
AD23-00434.004,2023-11-19,AD23-00434.004,515871,6.955,671922.0,-1,True
AD22-00012.013,2022-12-07,AD22-00012.013,340082,11.348603,218747.0,-1,True
AD22-00014.010,2022-12-08,AD22-00014.010,317220,5.795731,319982.0,-1,True
AD24-00051.017,2024-02-04,AD24-00051.017,104470,5.424,319982.0,-1,True
AD23-00429.013,2023-11-15,AD23-00429.013,160247,3.212,143990.0,-1,True
AD23-00002.002,2023-01-02,AD23-00002.002,474746,6.263,319982.0,-1,True
AD23-00394.007,2023-10-22,AD23-00394.007,214244,3.277,63368.0,-1,True
AD22-00017.006,2022-12-12,AD22-00017.006,1242398,14.893,884428.5,-1,True
AD23-00394.018,2023-10-22,AD23-00394.018,73686,1.627,319982.0,-1,True
AD22-00013.004,2022-12-07,AD22-00013.004,291415,5.28005,68217.0,-1,True
AD23-00429.008,2023-11-15,AD23-00429.008,2850733,33.502,884428.5,-1,True
AD22-00015.001,2022-12-08,AD22-00015.001,51639,2.144801,91252.0,-1,True
AD23-00429.027,2023-11-15,AD23-00429.027,509322,6.051,91252.0,-1,True
AD22-00003.004,2022-08-15,AD22-00003.004,284966,0.312171,218747.0,-1,True
AD24-00051.017,2024-02-04,AD24-00051.017,36597,1.9,143990.0,-1,True
AD22-00017.004,2022-12-12,AD22-00017.004,1129724,10.487,319781.0,-1,True
AD23-00394.026,2023-10-22,AD23-00394.026,1132025,26.549,671922.0,-1,True
AD23-00429.054,2023-11-15,AD23-00429.054,445141,4.943,53001.0,-1,True
AD23-00429.031,2023-11-15,AD23-00429.031,153420,1.802,91185.0,-1,True
AD23-00429.008,2023-11-15,AD23-00429.008,294750,3.464,225253.0,-1,True
AD24-00051.027,2024-02-04,AD24-00051.027,221769,9.461,319781.0,-1,True
